geoname_id,ascii_name,feature_cla,feature_cod,country_cod,cou_name_en,country_cod_1,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modificatio,label_en
1136414,Khulbisat,P,PPLA2,AF,Afghanistan,,37,3209,,,0,,1148,Asia/Kabul,2018/2/17,Afghanistan
1136737,Khinj,P,PPLA2,AF,Afghanistan,,42,3303,,,0,,2225,Asia/Kabul,2018/2/17,Afghanistan
1137079,Khan Neshin,P,PPLA2,AF,Afghanistan,,10,2313,,,0,,635,Asia/Kabul,2020/6/9,Afghanistan
1139335,Jawand,P,PPLA2,AF,Afghanistan,,2,1904,,,0,,945,Asia/Kabul,2018/2/17,Afghanistan
1140341,Haji Khel,P,PPLA2,AF,Afghanistan,,14,203,,,0,,1914,Asia/Kabul,2018/2/17,Afghanistan
1145897,Chah Ab,P,PPLA2,AF,Afghanistan,,26,1209,,,0,,1034,Asia/Kabul,2020/6/9,Afghanistan
1147066,Baraki Barak,P,PPLA2,AF,Afghanistan,,17,503,,,22305,,1940,Asia/Kabul,2018/2/17,Afghanistan
1459933,Du Lainah,P,PPLA2,AF,Afghanistan,,9,2710,,,0,,2619,Asia/Kabul,2020/6/11,Afghanistan
1465349,Lab-Sar,P,PPL,AF,Afghanistan,,30,1610,,,1068,,1011,Asia/Kabul,2018/12/6,Afghanistan
1123666,Markaz-e Hukumat-e Sultan-e Bakwah,P,PPLA2,AF,Afghanistan,,6,2102,,,0,,724,Asia/Kabul,2020/6/9,Afghanistan
1129680,Qarah Bagh,P,PPLA2,AF,Afghanistan,,8,613,,,0,,2089,Asia/Kabul,2020/6/9,Afghanistan
1130233,Qadis,P,PPLA2,AF,Afghanistan,,2,1903,,,0,,1300,Asia/Kabul,2018/2/17,Afghanistan
1138714,Kajran,P,PPLA2,AF,Afghanistan,,41,3404,,,0,,1364,Asia/Kabul,2020/6/9,Afghanistan
1140433,Hafiz Moghul,P,PPLA2,AF,Afghanistan,,1,1115,,,0,,1700,Asia/Kabul,2018/2/17,Afghanistan
1142234,Qal'ah-ye Farsi,P,PPLA2,AF,Afghanistan,,11,2013,,,0,,2286,Asia/Kabul,2020/6/9,Afghanistan
1143874,Darzab,P,PPLA2,AF,Afghanistan,,31,1703,,,9642,,1179,Asia/Kabul,2018/2/17,Afghanistan
